original,normalized
đừng có nch riêng trong giờ học,đừng có nói chuyện riêng trong giờ học
Ns nhỏ thôi nói to quá k nghe được,Nói nhỏ thôi nói to quá không nghe được
T ns thiệt lòng mà,Tao nói thiệt lòng mà
Ns dối làm gì vậy,Nói dối làm gì vậy
Tao ns chuyện đó từ hôm qua rồi mà,Tao nói chuyện đó từ hôm qua rồi mà
Mày ns lại coi,Mày nói lại coi
Ns chuyện này cho ai nghe vậy,Nói chuyện này cho ai nghe vậy
Ns vậy mà m tin luôn á,Nói vậy mà mày tin luôn á
Đừng ns bậy nữa nha,Đừng nói bậy nữa nha
nó ns vậy mà mày cũng tin nữa hả,nó nói vậy mà mày cũng tin nữa hả
nó ns sạo đó,nó nói sạo đó
thằng này ns nhiều ghê,thằng này nói nhiều ghê
Đi vs tao hông,Đi với tao không
Mày nói chuyện đó vs ai vậy,Mày nói chuyện đó với ai vậy
Đi ăn vs tao nha,Đi ăn với tao nha
Học nhóm vs mọi người vui lắm á,Học nhóm với mọi người vui lắm á
Chơi vs bạn cũ thích ghê á,Chơi với bạn cũ thích ghê á
Tao đang nch vs m nè,Tao đang nói chuyện với mày nè
Hôm qua đi cà phê vs đám bạn,Hôm qua đi cà phê với đám bạn
mày vs thằng đó còn làm việc chung không,mày với thằng đó còn làm việc chung không
tao nói vs mày rồi mà,tao nói vs mày rồi mà
cuối tuần này đi coi phim vs tao không,cuối tuần này đi coi phim với tao không
Ng này dễ thương ghê á,Người này dễ thương ghê á
Tao gặp 1 ng tốt lắm,Tao gặp một người tốt lắm
Ng kia nói đúng đó,Người kia nói đúng đó
Tao là ng hiểu m mà,Tao là người hiểu mày mà
Ng ta ai cũng nói vậy hết,Người ta ai cũng nói vậy hết
M là ng bạn tốt nhất của tao,Mày là người bạn tốt nhất của tao
Ng trong hình là ai vậy,Người trong hình là ai vậy
Tao gặp nhiều ng tốt lắm,Tao gặp nhiều người tốt lắm
ng hiểu chị chỉ có em thôi,người hiểu chị chỉ có em thôi
cuộc sống phải có ng này ng kia chứ,cuộc sống phải có người này người kia chứ
Ngta nói k sai đâu,Người ta nói không sai đâu
Tao thấy ngta cũng có lý đó,Tao thấy người ta cũng có lý đó
Ngta đâu quan tâm mày nữa đâu,Người ta đâu quan tâm mày nữa đâu
Ngta bảo mày đừng làm vậy,Người ta bảo mày đừng làm vậy
Mà ngta nói thật đó nha,Mà người ta nói thật đó nha
Ngta thương mày dữ lắm á,Người ta thương mày dữ lắm á
Tao ghét cách ngta làm vậy ghê,Tao ghét cách người ta làm vậy ghê
Ngta có nói gì đâu mà m giận,Người ta có nói gì đâu mà mày giận
ngta có nói gì thì cũng đừng nghe,người ta có nói gì thì cũng đừng nghe
tao nghe ngta nói vậy đó,tao nghe người ta nói vậy đó
Mn đi chơi hết rồi á,Mọi người đi chơi hết rồi á
Mng đều thấy vui lắm,Mọi người đều thấy vui lắm
Mn nói m dễ thương ghê á,Mọi người nói mày dễ thương ghê á
Mn về hết rồi chỉ còn tao thôi á,Mọi người về hết rồi chỉ còn tao thôi á
Mng đều đồng ý với ý kiến đó,Mọi người đều đồng ý với ý kiến đó
Mn trong lớp học giỏi ghê á,Mọi người trong lớp học giỏi ghê á
Tao cảm ơn mn nhiều nha,Tao cảm ơn mọi người nhiều nha
Mn đừng lo quá nha,Mọi người đừng lo quá nha
Ngkhac nghĩ sao thì kệ họ,Người khác nghĩ sao thì kệ họ
Tao đâu cần quan tâm ngkhac nói gì,Tao đâu cần quan tâm người khác nói gì
Ngkhac cũng làm như vậy thôi mà,Người khác cũng làm như vậy thôi mà
Đừng so sánh với ngkhac nữa,Đừng so sánh với người khác nữa
Tao khác ngkhac chứ,Tao khác người khác chứ
Ngkhac có quyền chọn đường riêng,Người khác có quyền chọn đường riêng
Ngkhac cũng mệt như mày thôi,Người khác cũng mệt như mày thôi
Mày không cần phải giống ngkhac,Mày không cần phải giống người khác
Tao mới vào cty làm hôm qua,Tao mới vào công ty làm hôm qua
Cty này lớn ghê luôn á,Công ty này lớn ghê luôn á
Tao nghỉ cty cũ rồi,Tao nghỉ công ty cũ rồi
Cty đang tuyển nhân viên đó,Công ty đang tuyển nhân viên đó
Mày có làm ở cty đó hông,Mày có làm ở công ty đó không
Sếp cty dễ tính ghê á,Sếp công ty dễ tính ghê á
Tao thích môi trường cty này lắm,Tao thích môi trường công ty này lắm
Cty thưởng tết cao ghê á,Công ty thưởng tết cao ghê á
Bao h mày đi vậy,Bao giờ mày đi vậy
Tao hỏi hoài mày chưa trả lời bao h,Bao giờ mày đi mà tao hỏi hoài chưa trả lời
Mày định làm tới bao g,Bao giờ mày định làm tới
Bao h mới gặp lại đây,Bao giờ mới gặp lại đây
Bao g thi xong vậy,Bao giờ thi xong vậy
Bao h mày về vậy,Bao giờ mày về vậy
T đang học bây g,Tao đang học bây giờ
Bây h mới nói hả,Bây giờ mới nói hả
Làm gì bây h mới về,Làm gì bây giờ mới về
Bây g mày có rảnh hông,Bây giờ mày có rảnh không
Bây g mới hiểu thiệt đó,Bây giờ mới hiểu thiệt đó
Nthe này đúng hông,Như thế này đúng không
Mày làm nthe cũng được á,Mày làm như thế cũng được á
Sao lại nói nthe,Sao lại nói như thế
Nthe là sai rồi đó,Như thế là sai rồi đó
Tao chưa từng thấy ai như nthe,Tao chưa từng thấy ai như thế
Nthe thì hơi quá nha,Như thế thì hơi quá nha
Đừng cư xử nthe nữa nha,Đừng cư xử như thế nữa nha
Mà nthe cũng được rồi đó,Mà như thế cũng được rồi đó
Tao đi trc nha,Tao đi trước nha
Trc khi làm phải suy nghĩ kỹ,Trước khi làm phải suy nghĩ kỹ
Trc giờ chưa thấy ai như mày luôn á,Trước giờ chưa thấy ai như mày luôn á
Tao gặp mày trc cổng nè,Tao gặp mày trước cổng nè
Trc đó mày nói khác mà,Trước đó mày nói khác mà
Làm xong trc 5h nha,Làm xong trước 5 giờ nha
Mày tới trc tao nha,Mày tới trước tao nha
Trc đây vui hơn nhiều,Trước đây vui hơn nhiều
Tr nóng dữ luôn á,Trời nóng dữ luôn á
Chời ơi m sao vậy,Trời ơi mày sao vậy
Tr mưa suốt luôn á,Trời mưa suốt luôn á
Chờy ơi nhìn cái này nè,Trời ơi nhìn cái này nè
Tr buồn ghê luôn,Trời buồn ghê luôn
Chời ơi cưng dễ sợ,Trời ơi cưng dễ sợ
Tr ơi hôm nay mệt quá,Trời ơi hôm nay mệt quá
Chời ơi hết chịu nổi luôn á,Trời ơi hết chịu nổi luôn á
Tgian trôi nhanh ghê á,Thời gian trôi nhanh ghê á
K đủ tgian để nghỉ luôn á,Không đủ thời gian để nghỉ luôn á
Tgian quý lắm nha,Thời gian quý lắm nha
Tgian học sắp hết rồi,Thời gian học sắp hết rồi
Còn tgian hông để làm bài đó,Còn thời gian không để làm bài đó
Tgian rảnh làm gì đây,Thời gian rảnh làm gì đây
Tgian nghỉ ngơi ngắn quá,Thời gian nghỉ ngơi ngắn quá
Tgian qua mau thiệt luôn,Thời gian qua mau thiệt luôn
Gđ t vui lắm á,Gia đình tao vui lắm á
Gd m khỏe hông,Gia đình mày khỏe không
Gđ là tất cả,Gia đình là tất cả
T nhớ gđ quá trời,Tao nhớ gia đình quá trời
Gđ m sao rồi,Gia đình mày sao rồi
Gđình này thiệt hạnh phúc,Gia đình này thật hạnh phúc
Tao thích ở bên gđ hoài luôn á,Tao thích ở bên gia đình hoài luôn á
Gđ là nơi để về,Gia đình là nơi để về
em dắt gd theo được không ạ,em dắt gia đình theo được không ạ
quà này phát theo gd nha,quà này phát theo gia đình nha
gd mình thật hạnh phúc,gia đình mình thật hạnh phúc
tết này có về với gd không,tết này có về với gia đình không
hỏi ý kiến gd chưa,hỏi ý kiến gia đình chưa
J vậy trời,Gì vậy trời
Mày nói j đó,Mày nói gì đó
J vậy mày, Gì vậy mày
J đâu có,Gì đâu có
Mày hỏi j á,Mày hỏi gì á
Tao không hiểu j hết,Tao không hiểu gì hết
J cũng được hết á,Gì cũng được hết á
Mày làm j đó,Mày làm gì đó
bạn nói cái ji thế,bạn nói cái gì thế
tôi đang làm ji thế này,tôi đang làm gì thế này
có ji thì cũng phải bình tĩnh chứ,có gì thì cũng phải bình tĩnh chứ
có chuyện ji mà mọi người căng thẳng vậy,có chuyện gì mà mọi người căng thẳng vậy
Lm bài xong chưa,Làm bài xong chưa
Tao chưa lm kịp nữa,Tao chưa làm kịp nữa
Mày lm cái đó chưa,Mày làm cái đó chưa
Lm như này là sai rồi á,Làm như này là sai rồi á
Tao lm hết r nè,Tao làm hết rồi nè
Mày lm tốt lắm á,Mày làm tốt lắm á
Lm cho nhanh lên nha,Làm cho nhanh lên nha
Tao thích lm mấy cái này lắm,Tao thích làm mấy cái này lắm
Hs trường này ngoan lắm á,Học sinh trường này ngoan lắm á
Hs lớp tao toàn giỏi thôi,Học sinh lớp tao toàn giỏi thôi
Tao từng là hs ở đó nè,Tao từng là học sinh ở đó nè
Hs bây giờ khôn ghê á,Học sinh bây giờ khôn ghê á
Hs này học tốt lắm á,Học sinh này học tốt lắm á
Hs cuối cấp học căng lắm,Học sinh cuối cấp học căng lắm
Hs trường mày nổi tiếng á,Học sinh trường mày nổi tiếng á
Tao nhớ thời còn là hs,Tao nhớ thời còn là học sinh
Cho tao xin sđt đi,Cho tao xin số điện thoại đi
Mày đổi sdt mới hả,Mày đổi số điện thoại mới hả
Tao quên lưu sđt mày luôn,Tao quên lưu số điện thoại mày luôn
Đưa sdt để tao gọi,Đưa số điện thoại để tao gọi
Sđt của mày là bao nhiêu,Số điện thoại của mày là bao nhiêu
Đth này đổ chuông hoài luôn,Điện thoại này đổ chuông hoài luôn
Tao mất sđt cũ rồi,Tao mất số điện thoại cũ rồi
Nhắn qua sdt tao nha,Nhắn qua số điện thoại tao nha
Tao mới mua th mới,Tao mới mua điện thoại mới
Dth mày đẹp ghê á,Điện thoại mày đẹp ghê á
Th tao bị hư màn hình rồi,Điện thoại tao bị hư màn hình rồi
Dth reo suốt luôn á,Điện thoại reo suốt luôn á
Mày nghe th k,Mày nghe điện thoại không
Dth tao hết pin rồi,Điện thoại tao hết pin rồi
Th này xài mượt ghê á,Điện thoại này xài mượt ghê á
Dth mày thương hiệu gì vậy,Điện thoại mày thương hiệu gì vậy
Tôi mới đổi sđt xong á,Tôi mới đổi số điện thoại xong á
Bạn gửi sđt qua đây nha,Bạn gửi số điện thoại qua đây nha
Tôi lỡ xóa sđt của bạn rồi,Tôi lỡ xóa số điện thoại của bạn rồi
Ai gọi vô sđt của tôi hoài luôn,Ai gọi vô số điện thoại của tôi hoài luôn
Cho tôi xin sđt để lưu vào danh bạ,Cho tôi xin số điện thoại để lưu vào danh bạ
Sđt này nghe quen lắm luôn á,Số điện thoại này nghe quen lắm luôn á
Sạc dth hoài mà không vô pin,Sạc điện thoại hoài mà không vô pin
Ai gọi dth của bạn lúc nãy vậy,Ai gọi điện thoại của bạn lúc nãy vậy
Dth này pin trâu ghê á,Điện thoại này pin trâu ghê á
Tôi để quên dth ở lớp rồi,Tôi để quên điện thoại ở lớp rồi
Tôi mới mua đth mới hôm qua luôn,Tôi mới mua điện thoại mới hôm qua luôn
Đth của bạn nhìn sang ghê á,Điện thoại của bạn nhìn sang ghê á
Ai gọi vô đth của tôi lúc nãy vậy,Ai gọi vô điện thoại của tôi lúc nãy vậy
Đth tôi bị rớt xuống nước rồi,Điện thoại tôi bị rớt xuống nước rồi
Bạn sạc đth chưa,Bạn sạc điện thoại chưa
Đth này xài pin lâu lắm luôn á,Điện thoại này xài pin lâu lắm luôn á
Tôi để quên đth trên bàn học rồi,Tôi để quên điện thoại trên bàn học rồi
Đth reo hoài mà tôi không nghe,Điện thoại reo hoài mà tôi không nghe
Dth rung hoài mà không thấy ai gọi,Điện thoại rung hoài mà không thấy ai gọi
Tôi bật chế độ im lặng trên dth rồi,Tôi bật chế độ im lặng trên điện thoại rồi
Dth của bạn có cảm biến vân tay hả,Điện thoại của bạn có cảm biến vân tay hả
Tôi xóa nhầm hình trong dth mất rồi,Tôi xóa nhầm hình trong điện thoại mất rồi
Dth này chơi game mượt lắm luôn,Điện thoại này chơi game mượt lắm luôn
Bạn coi giờ trên dth giùm tôi với,Bạn coi giờ trên điện thoại giùm tôi với
Tôi quên mang dth theo khi ra ngoài,Tôi quên mang điện thoại theo khi ra ngoài
Bây g tôi đang học bài,Bây giờ tôi đang học bài
Bạn học tiếng Anh mấy g mỗi ngày?,Bạn học tiếng Anh mấy giờ mỗi ngày?
G làm việc của công ty bắt đầu từ 8g sáng,Giờ làm việc của công ty bắt đầu từ 8 giờ sáng
Chúng ta có thể gặp nhau vào g nghỉ trưa,Chúng ta có thể gặp nhau vào giờ nghỉ trưa
Tôi đã đợi bạn hơn 1g rồi,Tôi đã đợi bạn hơn một giờ rồi
G thì mọi chuyện đã khác xưa,Giờ thì mọi chuyện đã khác xưa
Lớp học kết thúc lúc 10g30p,Lớp học kết thúc lúc 10 giờ 30 phút
Bạn có thể nói cho tôi mấy g bắt đầu không?,Bạn có thể nói cho tôi mấy giờ bắt đầu không?
Tôi không biết g mình phải đi đâu,Tôi không biết giờ mình phải đi đâu
Làm gì mà g bạn mới đến,Làm gì mà giờ bạn mới đến
Bây h là 8h15p chúng ta phải đi thôi,Bây giờ là 8 giờ 15 phút chúng ta phải đi thôi
Lớp học bắt đầu lúc 7h30p sáng,Lớp học bắt đầu lúc 7 giờ 30 phút sáng
Tôi sẽ đến nhà bạn vào khoảng 6h45p tối,Tôi sẽ đến nhà bạn vào khoảng 6 giờ 45 phút tối
Cuộc họp kết thúc lúc 10h50p,Cuộc họp kết thúc lúc 10 giờ 50 phút
Bạn có thể đặt báo thức lúc 5h10p được không?,Bạn có thể đặt báo thức lúc 5 giờ 10 phút được không?
Chuyến xe buýt rời bến lúc 9h5p,Chuyến xe buýt rời bến lúc 9 giờ 5 phút
Mình tập thể dục mỗi ngày lúc 6h20p sáng,Mình tập thể dục mỗi ngày lúc 6 giờ 20 phút sáng
H ăn trưa ở công ty là 12h30p,Giờ ăn trưa ở công ty là 12 giờ 30 phút
Chúng tôi đến sân bay lúc 3h40p chiều,Chúng tôi đến sân bay lúc 3 giờ 40 phút chiều
Đồng hồ báo thức reo lúc 7h30p sáng, Đồng hồ báo thức reo lúc 7 giờ 30 phút sáng
Trời hôm nay thật 6,Trời hôm nay thật xấu
Kiểu tóc mới nhìn hơi 6,Kiểu tóc mới nhìn hơi xấu
Mặc áo đó trông 6 quá,Mặc áo đó trông xấu quá
Hình này chụp hơi 6,Hình này chụp hơi xấu
Sao hôm nay mặt cậu 6 thế,Sao hôm nay mặt cậu xấu thế
Đừng trang điểm vậy trông 6 lắm,Đừng trang điểm vậy trông xấu lắm
Bộ quần này phối màu hơi 6,Bộ quần này phối màu hơi xấu
Chỗ này sơn 6 quá,Chỗ này sơn xấu quá
Mắt kính đó nhìn hơi 6,Mắt kính đó nhìn hơi xấu
Phong cách này hơi 6,Phong cách này hơi xấu
Thời tiết hôm nay 6 quá,Thời tiết hôm nay xấu quá
Bộ phim tối qua chán và 6,Bộ phim tối qua chán và xấu
Cảnh vật trong tranh trông 6,Cảnh vật trong tranh trông xấu
Món ăn hôm nay trang trí 6,Món ăn hôm nay trang trí xấu
Ý tưởng thiết kế này hơi 6,Ý tưởng thiết kế này hơi xấu
Trang web này bố cục 6 quá,Trang web này bố cục xấu quá
Chiếc xe cũ nhìn 6,Chiếc xe cũ nhìn xấu
Tác phẩm nghệ thuật này hơi 6,Tác phẩm nghệ thuật này hơi xấu
Cách cậu viết chữ thật 6,Cách cậu viết chữ thật xấu
Riêng tao thấy phong cách đó 6,Riêng tao thấy phong cách đó xấu
Tao thấy 6 vãi,Tao thấy xấu vãi
Hôm nay là ngày 6 tháng 10,Hôm nay là ngày 6 tháng 10
Tôi có 6 quyển sách trên bàn,Tôi có 6 quyển sách trên bàn
Chúng tôi đi xe buýt số 6 đến trường,Chúng tôi đi xe buýt số 6 đến trường
Bạn cần 6 quả trứng để làm bánh,Bạn cần 6 quả trứng để làm bánh
Số điện thoại của tôi kết thúc bằng 6,Số điện thoại của tôi kết thúc bằng 6
Tôi thức dậy lúc 6 giờ sáng,Tôi thức dậy lúc 6 giờ sáng
Trong lớp có 6 học sinh nam,Trong lớp có 6 học sinh nam
Tôi đã chạy được 6 km hôm nay,Tôi đã chạy được 6 km hôm nay
Căn hộ của tôi ở tầng 6,Căn hộ của tôi ở tầng 6
Chúng tôi có 6 ngày nghỉ lễ,Chúng tôi có 6 ngày nghỉ lễ
Tôi mua 6 cây bút màu,Tôi mua 6 cây bút màu
Chiếc xe số 6 của tôi bị hỏng,Chiếc xe số 6 của tôi bị hỏng
Có 6 bài kiểm tra trong tuần này,Có 6 bài kiểm tra trong tuần này
Tôi nhận được 6 tin nhắn từ bạn bè,Tôi nhận được 6 tin nhắn từ bạn bè
Bàn ăn có 6 chiếc ghế,Bàn ăn có 6 chiếc ghế
Tôi mất 6 phút để làm xong bài tập,Tôi mất 6 phút để làm xong bài tập
Có 6 loại trái cây trên bàn,Có 6 loại trái cây trên bàn
Tôi đặt 6 chiếc bánh pizza cho bữa tiệc,Tôi đặt 6 chiếc bánh pizza cho bữa tiệc
Lớp chúng tôi được chia thành 6 nhóm,Lớp chúng tôi được chia thành 6 nhóm
Tôi đã xem 6 bộ phim cuối tuần qua,Tôi đã xem 6 bộ phim cuối tuần qua
Nhma tao vẫn thích mày,Nhưng mà tao vẫn thích mày
Nma tao k giận đâu,Nhưng mà tao không giận đâu
Nma mày hãy cố lên,Nhưng mà mày hãy cố lên
Nhma tao thấy vui ghê,Nhưng mà tao thấy vui ghê
Nma chuyện đó không sao đâu,Nhưng mà chuyện đó không sao đâu
Nhma tao không đồng ý,Nhưng mà tao không đồng ý
Tao biết nhma không sao đâu,Tao biết nhưng mà không sao đâu
Nhma mày phải cẩn thận nha,Nhưng mà mày phải cẩn thận nha
Mặc dù hôm nay mưa lớn nhma tao vẫn đi học đúng giờ,Mặc dù hôm nay mưa lớn nhưng mà tao vẫn đi học đúng giờ
Ls vậy hả,Là sao vậy hả
Ls Tao không hiểu,Là sao tao không hiểu
Lsao nữa vậy,Là sao nữa vậy
Ls vậy mày,Là sao vậy mày
Ls ba,Là sao ba
Lsao nữa tao đã nói là không được làm mà,Là sao nữa tao đã nói là không được làm mà
Ý cậu nói vậy lsao,Ý cậu nói vậy là sao
Ý cậu nói vậy ls,Ý cậu nói vậy là sao
Cái này nghĩa lsao vậy,Cái này nghĩa là sao vậy
Bộ phim hôm qua chúng ta coi ý nghĩa lsao vậy mọi người?,Bộ phim hôm qua chúng ta coi ý nghĩa là sao vậy mọi người?
Nội dung chính của bộ truyện này lsao vậy?,Nội dung chính của bộ truyện này là sao vậy?
Bộ phim hôm qua chúng ta coi ý nghĩa ls vậy mọi người?,Bộ phim hôm qua chúng ta coi ý nghĩa là sao vậy mọi người?
Nội dung chính của bộ truyện này ls vậy?,Nội dung chính của bộ truyện này là sao vậy?
Nc uống ngon vl,Nước uống ngon vãi
Tao đi nc ngoài,Ngoài nước tao đi
Nc mát ghê,Nước mát ghê
Tao thích nc đó,Tao thích nước đó
Nc chảy nhanh ghê,Nước chảy nhanh ghê
Mày uống nc nhiều không,Mày uống nước nhiều không
Nc nóng quá,Nước nóng quá
Tao không có nc lạnh,Tao không có nước lạnh
Cậu có mang nc không,Cậu có mang nước không
Nc ở đây rất sạch,Nước ở đây rất sạch
Chúng tôi đi mua nc,Chúng tôi đi mua nước
Bình nc của tôi đầy,Bình nước của tôi đầy
Trời nóng quá uống nc thôi,Trời nóng quá uống nước thôi
Học sinh được phát nc lọc,Học sinh được phát nước lọc
Nc suối này mát,Nước suối này mát
Cô ấy rót nc vào ly,Cô ấy rót nước vào ly
Nhà máy lọc nc mới mở,Nhà máy lọc nước mới mở
Chúng ta nc một chút,Chúng ta nói chuyện một chút
Cậu có muốn nc không,Cậu có muốn nói chuyện không
Họ đang nc vui vẻ,Họ đang nói chuyện vui vẻ
Mẹ và con gái nc suốt,Mẹ và con gái nói chuyện suốt
Tôi thích nc với bạn,Tôi thích nói chuyện với bạn
Chúng tôi ngồi nc đến tối,Chúng tôi ngồi nói chuyện đến tối
Anh ấy nc rất hay,Anh ấy nói chuyện rất hay
Nc với thầy giáo khó quá,Nói chuyện với thầy giáo khó quá
Bạn bè thường nc sau giờ học,Bạn bè thường nói chuyện sau giờ học
Họ ngừng nc khi thấy người lạ,Họ ngừng nói chuyện khi thấy người lạ
Tôi đ hiểu gì hết,Tôi đéo hiểu gì hết
Cậu đ có ở nhà à,Cậu đéo có ở nhà à
Sao mày đ làm vậy,Sao mày đéo làm vậy
Tôi đ tin chuyện đó,Tôi đéo tin chuyện đó
Anh ấy đ trả lời tin nhắn,Anh ấy đéo trả lời tin nhắn
Chuyện này đ thể tin nổi,Chuyện này đéo thể tin nổi
Mày đ nghĩ trước à,Mày đéo nghĩ trước à
Họ đ quan tâm tới tôi,Họ đéo quan tâm tới tôi
Tôi đ biết phải nói gì,Tôi đéo biết phải nói gì
Sao mọi người đ đến,Sao mọi người đéo đến
Tôi éo muốn đi đâu,Tôi đéo muốn đi đâu
Cậu éo nghe tôi nói à,Cậu đéo nghe tôi nói à
Anh ấy éo hiểu vấn đề,Anh ấy đéo hiểu vấn đề
Sao mày éo trả lời tin nhắn,Sao mày đéo trả lời tin nhắn
Tui éo có thời gian đâu,Tui đéo có thời gian đâu
Họ éo quan tâm tới cảm xúc tôi,Họ đéo quan tâm tới cảm xúc tôi
Mọi chuyện éo đơn giản,Mọi chuyện đéo đơn giản
Tôi éo biết phải làm sao,Tôi đéo biết phải làm sao
Sao cậu éo tới lớp,Sao cậu đéo tới lớp
Chuyện này éo vui tí nào,Chuyện này đéo vui tí nào
Tôi dell muốn đi đâu,Tôi đéo muốn đi đâu
Cậu dell nghe tôi nói à,Cậu đéo nghe tôi nói à
Anh ấy dell hiểu vấn đề,Anh ấy đéo hiểu vấn đề
Sao mày dell trả lời tin nhắn,Sao mày đéo trả lời tin nhắn
Tui dell có thời gian đâu,Tui đéo có thời gian đâu
Họ dell quan tâm tới cảm xúc tôi,Họ đéo quan tâm tới cảm xúc tôi
Mọi chuyện dell đơn giản,Mọi chuyện đéo đơn giản
Tôi dell biết phải làm sao,Tôi đéo biết phải làm sao
Sao cậu dell tới lớp,Sao cậu đéo tới lớp
Chuyện này dell vui tí nào,Chuyện này đéo vui tí nào
Tôi đang dùng laptop Dell,Tôi đang dùng laptop Dell
Cậu có thích máy Dell không,Cậu có thích máy Dell không
Dell sản xuất laptop rất bền,Dell sản xuất laptop rất bền
Họ vừa mua máy tính Dell,Họ vừa mua máy tính Dell
Dell có nhiều mẫu mã đẹp,Dell có nhiều mẫu mã đẹp
Chiếc Dell này hiệu năng cao,Chiếc Dell này hiệu năng cao
Tôi muốn nâng cấp RAM cho Dell,Tôi muốn nâng cấp RAM cho Dell
Laptop Dell chạy mượt,Laptop Dell chạy mượt
Cửa hàng Dell gần nhà tôi,Cửa hàng Dell gần nhà tôi
Dell vừa ra mắt dòng XPS,Dell vừa ra mắt dòng XPS
Anh ấy dùng máy Dell để học,Anh ấy dùng máy Dell để học
Dell cung cấp dịch vụ bảo hành tốt,Dell cung cấp dịch vụ bảo hành tốt
Mọi người đều nói Dell bền,Mọi người đều nói Dell bền
Dell là thương hiệu nổi tiếng,Dell là thương hiệu nổi tiếng
Tôi đặt mua một chiếc Dell mới,Tôi đặt mua một chiếc Dell mới
Máy Dell của tôi cần cài lại win,Máy Dell của tôi cần cài lại win
Công ty sử dụng máy Dell cho nhân viên,Công ty sử dụng máy Dell cho nhân viên
Dell Alienware dành cho game thủ,Dell Alienware dành cho game thủ
Tôi thích thiết kế của Dell,Tôi thích thiết kế của Dell
Laptop Dell giá cả hợp lý,Laptop Dell giá cả hợp lý
Hôm nay là sn tôi,Hôm nay là sinh nhật tôi
Cậu có nhớ sn mình không,Cậu có nhớ sinh nhật mình không
Chúng tôi tổ chức sn cho bạn,Chúng tôi tổ chức sinh nhật cho bạn
Sn năm nay thật vui,Sn năm nay thật vui
Tôi nhận được nhiều quà sn,Tôi nhận được nhiều quà sinh nhật
Sn của em gái vào tháng 6,Sn của em gái vào tháng 6
Cô ấy mừng sn ở nhà,Cô ấy mừng sinh nhật ở nhà
Sn này tôi muốn đi du lịch,Sn này tôi muốn đi du lịch
Mọi người chúc mừng sn tôi,Mọi người chúc mừng sinh nhật tôi
Sn bố tôi sắp tới,Sn bố tôi sắp tới
Tôi viết thiệp sn cho bạn,Tôi viết thiệp sinh nhật cho bạn
Sn năm ngoái tôi được đi chơi,Sn năm ngoái tôi được đi chơi
Chúng tôi hát chúc mừng sn nhau,Chúng tôi hát chúc mừng sinh nhật nhau
Sn này thật ý nghĩa,Sn này thật ý nghĩa
Bạn tôi quên sn tôi,Bạn tôi quên sinh nhật tôi
Tôi đặt bánh sn cho gia đình,Tôi đặt bánh sinh nhật cho gia đình
Sn anh ấy diễn ra tối nay,Sn anh ấy diễn ra tối nay
Tôi nhận lời mời sn từ cậu,Tôi nhận lời mời sinh nhật từ cậu
Sn là dịp để tụ họp,Sn là dịp để tụ họp
Chúng tôi chuẩn bị sn bất ngờ,Chúng tôi chuẩn bị sinh nhật bất ngờ
Tôi dừa ăn xong,Tôi vừa ăn xong
Cậu dừa về nhà à,Cậu vừa về nhà à
Chúng tôi dừa nhận được tin,Chúng tôi vừa nhận được tin
Anh ấy dừa đi làm về,Anh ấy vừa đi làm về
Cô ấy dừa gọi điện cho tôi,Cô ấy vừa gọi điện cho tôi
Tôi dừa mua một cuốn sách,Tôi vừa mua một cuốn sách
Chúng ta dừa kết thúc buổi họp,Chúng ta vừa kết thúc buổi họp
Dừa lúc tôi đến trời mưa,Vừa lúc tôi đến trời mưa
Họ dừa đặt xong bàn ăn,Họ vừa đặt xong bàn ăn
Tôi dừa học xong bài,Tôi vừa học xong bài
Cậu dừa làm xong việc chưa,Cậu vừa làm xong việc chưa
Chúng tôi dừa xem xong bộ phim,Chúng tôi vừa xem xong bộ phim
Tôi dừa nhận được email,Tôi vừa nhận được email
Dừa rồi tôi gặp bạn cũ,Vừa rồi tôi gặp bạn cũ
Tôi dừa viết xong báo cáo,Tôi vừa viết xong báo cáo
Chúng ta dừa ăn xong,Chúng ta vừa ăn xong
Anh ấy dừa rời văn phòng,Anh ấy vừa rời văn phòng
Tôi dừa nhớ ra điều quan trọng,Tôi vừa nhớ ra điều quan trọng
Họ dừa hoàn thành dự án,Họ vừa hoàn thành dự án
Cô ấy dừa trả lời tin nhắn,Tôi vừa trả lời tin nhắn
Tôi zừa ăn xong,Tôi vừa ăn xong
Cậu zừa về nhà à,Cậu vừa về nhà à
Chúng tôi zừa nhận được tin,Chúng tôi vừa nhận được tin
Anh ấy zừa đi làm về,Anh ấy vừa đi làm về
Cô ấy zừa gọi điện cho tôi,Cô ấy vừa gọi điện cho tôi
Tôi zừa mua một cuốn sách,Tôi vừa mua một cuốn sách
Chúng ta zừa kết thúc buổi họp,Chúng ta vừa kết thúc buổi họp
Zừa lúc tôi đến trời mưa,Vừa lúc tôi đến trời mưa
Họ zừa đặt xong bàn ăn,Họ vừa đặt xong bàn ăn
Tôi zừa học xong bài,Tôi vừa học xong bài
Cậu zừa làm xong việc chưa,Cậu vừa làm xong việc chưa
Chúng tôi zừa xem xong bộ phim,Chúng tôi vừa xem xong bộ phim
Tôi zừa nhận được email,Tôi vừa nhận được email
Zừa rồi tôi gặp bạn cũ,Vừa rồi tôi gặp bạn cũ
Tôi zừa viết xong báo cáo,Tôi vừa viết xong báo cáo
Chúng ta zừa ăn xong,Chúng ta vừa ăn xong
Anh ấy zừa rời văn phòng,Anh ấy vừa rời văn phòng
